station_name,year,band,orbit,orbit_direction,backscatter_DOY,backscatter_value
CO_335,2021,vv,56,descending,65,-11.31125
CO_335,2021,vh,56,descending,65,-19.760859
CO_335,2021,vv,56,descending,77,-10.276651
CO_335,2021,vh,56,descending,77,-18.926826
CO_335,2021,vv,56,descending,89,-9.672151
CO_335,2021,vh,56,descending,89,-18.386272
CO_335,2021,vv,56,descending,101,-9.311623
CO_335,2021,vh,56,descending,101,-18.06821
CO_335,2021,vv,56,descending,113,-8.075882
CO_335,2021,vh,56,descending,113,-17.174341
CO_335,2021,vv,56,descending,125,-12.617613
CO_335,2021,vh,56,descending,125,-21.71912
CO_335,2021,vv,56,descending,137,-13.189384
CO_335,2021,vh,56,descending,137,-22.365923
CO_335,2021,vv,78,ascending,49,-16.886814
CO_335,2021,vh,78,ascending,49,-15.248179
CO_335,2021,vv,78,ascending,61,-10.234259
CO_335,2021,vh,78,ascending,61,-16.215017
CO_335,2021,vv,151,ascending,42,-11.0758
CO_335,2021,vh,151,ascending,42,-17.059261
CO_335,2021,vv,151,ascending,54,-10.45834
CO_335,2021,vh,151,ascending,54,-16.81939
CO_335,2021,vv,151,ascending,66,-10.595806
CO_335,2021,vh,151,ascending,66,-16.594482
CO_335,2021,vv,151,ascending,78,-10.723368
CO_335,2021,vh,151,ascending,78,-16.490017
CO_335,2021,vv,151,ascending,90,-10.037294
CO_335,2021,vh,151,ascending,90,-15.50478
CO_335,2021,vv,151,ascending,102,-11.281546
CO_335,2021,vh,151,ascending,102,-16.503483
CO_335,2021,vv,151,ascending,114,-9.307338
CO_335,2021,vh,151,ascending,114,-14.746303
CO_335,2021,vv,151,ascending,126,-11.828543
CO_335,2021,vh,151,ascending,126,-17.42839
CO_335,2021,vv,151,ascending,138,-12.870132
CO_335,2021,vh,151,ascending,138,-18.077612
CO_335,2022,vv,56,descending,12,-11.128151
CO_335,2022,vh,56,descending,12,-20.220297
CO_335,2022,vv,56,descending,24,-10.780469
CO_335,2022,vh,56,descending,24,-19.785763
CO_335,2022,vv,56,descending,36,-10.421821
CO_335,2022,vh,56,descending,36,-19.020876
CO_335,2022,vv,56,descending,48,-10.5247965
CO_335,2022,vh,56,descending,48,-19.647158
CO_335,2022,vv,56,descending,60,-11.263163
CO_335,2022,vh,56,descending,60,-19.848467
CO_335,2022,vv,56,descending,72,-10.644487
CO_335,2022,vh,56,descending,72,-19.57753
CO_335,2022,vv,56,descending,84,-10.670972
CO_335,2022,vh,56,descending,84,-19.019276
CO_335,2022,vv,56,descending,96,-8.582755
CO_335,2022,vh,56,descending,96,-17.286705
CO_335,2022,vv,56,descending,108,-9.186998
CO_335,2022,vh,56,descending,108,-16.859154
CO_335,2022,vv,56,descending,120,-10.015036
CO_335,2022,vh,56,descending,120,-18.507515
CO_335,2022,vv,56,descending,132,-11.698804
CO_335,2022,vh,56,descending,132,-20.546988
CO_335,2023,vv,56,descending,19,-11.002397
CO_335,2023,vh,56,descending,19,-19.367287
CO_335,2023,vv,56,descending,43,-10.592078
CO_335,2023,vh,56,descending,43,-19.843603
CO_335,2023,vv,56,descending,55,-10.482011
CO_335,2023,vh,56,descending,55,-19.177868
CO_335,2023,vv,56,descending,67,-11.151638
CO_335,2023,vh,56,descending,67,-19.356691
CO_335,2023,vv,56,descending,79,-10.389738
CO_335,2023,vh,56,descending,79,-18.921425
CO_335,2023,vv,56,descending,91,-10.599221
CO_335,2023,vh,56,descending,91,-18.997972
CO_335,2023,vv,56,descending,103,-10.319769
CO_335,2023,vh,56,descending,103,-18.710712
CO_335,2023,vv,56,descending,115,-9.346497
CO_335,2023,vh,56,descending,115,-18.446169
CO_335,2023,vv,56,descending,127,-12.547809
CO_335,2023,vh,56,descending,127,-20.714748
CO_335,2023,vv,56,descending,139,-14.642583
CO_335,2023,vh,56,descending,139,-22.207172
CO_335,2023,vv,78,ascending,45,-13.237525
CO_335,2023,vh,78,ascending,45,-14.58357
CO_335,2023,vv,78,ascending,57,-11.041229
CO_335,2023,vh,78,ascending,57,-14.746183
CO_335,2023,vv,78,ascending,105,-11.689474
CO_335,2023,vh,78,ascending,105,-16.187386
CO_335,2023,vv,151,ascending,26,-10.759542
CO_335,2023,vh,151,ascending,26,-16.125744
CO_335,2023,vv,151,ascending,38,-10.724664
CO_335,2023,vh,151,ascending,38,-16.656212
CO_335,2023,vv,151,ascending,50,-11.378708
CO_335,2023,vh,151,ascending,50,-16.679543
CO_335,2023,vv,151,ascending,62,-11.084412
CO_335,2023,vh,151,ascending,62,-16.509954
CO_335,2023,vv,151,ascending,74,-10.756878
CO_335,2023,vh,151,ascending,74,-16.670313
CO_335,2023,vv,151,ascending,86,-10.316195
CO_335,2023,vh,151,ascending,86,-15.896008
CO_335,2023,vv,151,ascending,98,-10.35194
CO_335,2023,vh,151,ascending,98,-15.676004
CO_335,2023,vv,151,ascending,110,-10.027303
CO_335,2023,vh,151,ascending,110,-15.76388
CO_335,2023,vv,151,ascending,122,-12.953139
CO_335,2023,vh,151,ascending,122,-17.41596
CO_335,2023,vv,151,ascending,134,-12.697806
CO_335,2023,vh,151,ascending,134,-17.81655
CO_335,2023,vv,151,ascending,146,-12.800011
CO_335,2023,vh,151,ascending,146,-17.31169
CO_335,2024,vv,56,descending,26,-11.450296
CO_335,2024,vh,56,descending,26,-20.435541
CO_335,2024,vv,56,descending,38,-11.57037
CO_335,2024,vh,56,descending,38,-19.071266
CO_335,2024,vv,56,descending,50,-11.118726
CO_335,2024,vh,56,descending,50,-19.487059
CO_335,2024,vv,56,descending,62,-11.193423
CO_335,2024,vh,56,descending,62,-19.421658
CO_335,2024,vv,56,descending,74,-10.525559
CO_335,2024,vh,56,descending,74,-18.975073
CO_335,2024,vv,56,descending,86,-9.874886
CO_335,2024,vh,56,descending,86,-18.360462
CO_335,2024,vv,56,descending,98,-9.089
CO_335,2024,vh,56,descending,98,-18.181606
CO_335,2024,vv,56,descending,110,-9.861111
CO_335,2024,vh,56,descending,110,-19.43878
CO_335,2024,vv,56,descending,122,-13.05314
CO_335,2024,vh,56,descending,122,-20.841114
CO_335,2024,vv,56,descending,134,-11.284804
CO_335,2024,vh,56,descending,134,-20.095491
CO_335,2024,vv,56,descending,146,-12.053603
CO_335,2024,vh,56,descending,146,-20.33371
CO_335,2024,vv,78,ascending,64,-11.409388
CO_335,2024,vh,78,ascending,64,-16.798132
CO_335,2024,vv,78,ascending,76,-10.170769
CO_335,2024,vh,78,ascending,76,-15.074097
CO_335,2024,vv,151,ascending,57,-11.226042
CO_335,2024,vh,151,ascending,57,-16.300644
